mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
200	 12	5.6962e-01	6.7563e-01	8.5526e-01	4.9183e-01	-0.1754000	-0.455500	-1.0593000	 0.020482
200	 27	7.8449e-01	7.2529e-01	8.8157e-01	5.5645e-01	-0.7874500	-0.598620	-1.1829000	-0.141970
225	 42	7.7262e-01	7.0571e-01	8.7140e-01	5.3045e-01	-0.7475100	-0.540890	-1.1331000	-0.076409
225	 52	9.0376e-01	8.9351e-01	9.5893e-01	8.0947e-01	-1.3033000	-1.245400	-1.7384000	-0.875940
250	 62	5.1454e-01	2.7649e-01	5.5250e-01	1.1590e-01	-0.0364520	 0.593310	-0.1319700	 1.195700
250	 77	8.4795e-01	8.2069e-01	9.2749e-01	6.9317e-01	-1.0277000	-0.917990	-1.4574000	-0.504860
300	112	1.8494e-01	5.5109e-02	2.1312e-01	1.1102e-02	 0.8966900	 1.597200	 0.7956500	 2.286900
300	127	6.2678e-01	4.0455e-01	6.7286e-01	2.1028e-01	-0.3233500	 0.241580	-0.4478400	 0.805440
350	150	6.3805e-02	1.4063e-02	8.6460e-02	1.7300e-03	 1.5236000	 2.195500	 1.3629000	 2.923600
350	162	5.9747e-01	3.2804e-01	6.0468e-01	1.5102e-01	-0.2467900	 0.445340	-0.2654900	 1.032100
350	177	7.5587e-01	6.7703e-01	8.5603e-01	4.9359e-01	-0.6930900	-0.459400	-1.0626000	 0.016062
400	175	8.5689e-03	1.2088e-03	1.5035e-02	7.1454e-05	 2.3837000	 3.033500	 2.1692000	 3.803100
400	200	2.2062e-01	7.7388e-02	2.6365e-01	1.7882e-02	 0.7700900	 1.422900	 0.6321200	 2.099600
400	212	4.8562e-01	2.2817e-01	4.9772e-01	8.6501e-02	 0.0360520	 0.744890	 0.0057274	 1.362600
400	227	7.8771e-01	7.3050e-01	8.8423e-01	5.6348e-01	-0.7985100	-0.614330	-1.1964000	-0.159810
450	150	3.9253e-08	5.7257e-09	8.3379e-07	2.7791e-11	 5.3705000	 5.707700	 4.7900000	 6.555200
450	200	2.8242e-04	1.2944e-04	2.7878e-03	4.3568e-06	 3.4480000	 3.653300	 2.7717000	 4.446900
450	250	3.3172e-01	1.7333e-01	4.2650e-01	5.7347e-02	 0.4351800	 0.941090	 0.1853000	 1.577400
450	262	6.5832e-01	4.8098e-01	7.3229e-01	2.7810e-01	-0.4078700	 0.047706	-0.6197400	 0.588500
450	277	7.3435e-01	6.3825e-01	8.3425e-01	4.4601e-01	-0.6260300	-0.353790	-0.9711100	 0.135750
450	 50	7.9294e-10	3.2763e-10	7.4662e-08	1.0130e-12	 6.0354000	 6.176500	 5.2534000	 7.032700
500	100	6.6279e-11	1.2506e-11	4.5938e-09	2.3920e-14	 6.4242000	 6.673300	 5.7451000	 7.538000
500	  1	1.9356e-10	6.6177e-11	1.9132e-08	1.6105e-13	 6.2591000	 6.424400	 5.4987000	 7.284800
500	200	2.9311e-04	9.9598e-05	2.2780e-03	3.1526e-06	 3.4379000	 3.720000	 2.8369000	 4.515900
500	250	3.1744e-02	1.5274e-02	9.1474e-02	1.9317e-03	 1.8558000	 2.162900	 1.3317000	 2.889100
500	300	4.5391e-01	2.3358e-01	5.0419e-01	8.9625e-02	 0.1157800	 0.727090	-0.0104920	 1.343100
500	312	6.7755e-01	5.2410e-01	7.6269e-01	3.2027e-01	-0.4608700	-0.060458	-0.7149900	 0.466950
500	327	7.6191e-01	6.8751e-01	8.6172e-01	5.0690e-01	-0.7124600	-0.488800	-1.0881000	-0.017294
500	 50	9.4571e-07	1.7836e-07	1.4481e-05	1.5609e-09	 4.7647000	 5.090700	 4.1815000	 5.925100
550	100	2.9816e-05	5.3586e-06	2.2873e-04	8.9907e-08	 4.0143000	 4.402200	 3.5045000	 5.219100
550	  1	1.4978e-05	2.9493e-06	1.4173e-04	4.3882e-08	 4.1738000	 4.530000	 3.6300000	 5.350400
550	250	2.3997e-03	9.7663e-04	1.2842e-02	5.4518e-05	 2.8202000	 3.097200	 2.2310000	 3.869600
550	300	9.2351e-02	4.4753e-02	1.8658e-01	8.3157e-03	 1.3264000	 1.698000	 0.8905800	 2.394800
550	350	5.0059e-01	3.4601e-01	6.2161e-01	1.6418e-01	-0.0014882	 0.396110	-0.3097000	 0.977440
550	362	7.6433e-01	6.9167e-01	8.6395e-01	5.1223e-01	-0.7203100	-0.500590	-1.0983000	-0.030667
550	377	6.9118e-01	5.5321e-01	7.8209e-01	3.5035e-01	-0.4992100	-0.133770	-0.7792800	 0.384380
550	 50	3.3226e-03	2.8994e-04	5.1627e-03	1.1856e-05	 2.7141000	 3.440900	 2.5647000	 4.226700
600	100	4.3916e-05	7.2114e-06	2.8991e-04	1.2858e-07	 3.9220000	 4.337300	 3.4409000	 5.152400
600	150	1.1075e-02	1.8510e-03	2.0555e-02	1.2300e-04	 2.2878000	 2.902500	 2.0424000	 3.666400
600	  1	1.5831e-02	2.6296e-03	2.6530e-02	1.9297e-04	 2.1486000	 2.790700	 1.9344000	 3.549500
600	200	7.3582e-03	2.1786e-03	2.3146e-02	1.5154e-04	 2.4393000	 2.851100	 1.9927000	 3.612600
600	250	4.8967e-03	1.7872e-03	2.0035e-02	1.1760e-04	 2.5830000	 2.913500	 2.0530000	 3.677900
600	300	5.7150e-02	2.1526e-02	1.1534e-01	3.0620e-03	 1.5792000	 2.023200	 1.1986000	 2.741100
600	350	3.6752e-01	2.4974e-01	5.2296e-01	9.9200e-02	 0.3384400	 0.675320	-0.0575920	 1.286100
600	400	7.5375e-01	6.7331e-01	8.5399e-01	4.8892e-01	-0.6863500	-0.449070	-1.0537000	 0.027782
600	412	7.5273e-01	6.7150e-01	8.5299e-01	4.8665e-01	-0.6830900	-0.444050	-1.0493000	 0.033475
600	427	8.9424e-01	8.8174e-01	9.5404e-01	7.8993e-01	-1.2494000	-1.183700	-1.6854000	-0.806170
600	 50	1.0949e-03	2.4188e-04	4.4982e-03	9.4595e-06	 3.0632000	 3.489600	 2.6122000	 4.277300
