mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
100.0	50.0	0.9999768	0.9999768	0.9999917	0.9999556	-4.07	-4.07	-4.31	-3.92
125.0	50.0	2.977311e-08	1.999204e-06	0.0001036312	2.754777e-08	5.42	4.61	3.71	5.43
150.0	100.0	0.989897	0.9897938	0.9962975	0.9806154	-2.32	-2.32	-2.68	-2.07
150.0	1.0	2.201931e-26	1.220339e-22	8.742443e-19	1.185314e-26	7.40	7.40	7.40	7.40
175.0	50.0	1.895758e-16	1.663795e-13	1.099016e-10	1.764766e-16	7.75	7.28	6.35	7.75
200.0	100.0	2.19255e-07	1.026709e-05	0.0003839894	1.969972e-07	5.05	4.26	3.36	5.07
200.0	1.0	3.675504e-09	2.331716e-07	1.804344e-05	2.142132e-09	5.78	5.04	4.13	5.87
225.0	150.0	0.0170206	0.07512031	0.2588418	0.01714543	2.12	1.44	0.65	2.12
225.0	50.0	1.076883e-07	3.620042e-06	0.0001670791	5.611081e-08	5.19	4.49	3.59	5.31
250.0	100.0	0.000664757	0.006569225	0.05099566	0.0006330202	3.21	2.48	1.64	3.22
250.0	1.0	2.878098e-06	6.430178e-05	0.001623298	1.840402e-06	4.54	3.83	2.94	4.63
250.0	200.0	0.9573296	0.9748714	0.9907982	0.9527159	-1.72	-1.96	-2.36	-1.67
275.0	150.0	0.02416972	0.08689189	0.2831471	0.02107505	1.97	1.36	0.57	2.03
275.0	50.0	0.0005644529	0.005085791	0.04256066	0.0004531657	3.26	2.57	1.72	3.32
300.0	100.0	0.01098069	0.04521819	0.1878211	0.008435498	2.29	1.69	0.89	2.39
300.0	1.0	0.005365777	0.02417336	0.124628	0.003581574	2.55	1.97	1.15	2.69
300.0	200.0	0.1051508	0.2307983	0.5008686	0.08801275	1.25	0.74	-0.00	1.35
325.0	150.0	0.05565077	0.1488162	0.3905896	0.04581154	1.59	1.04	0.28	1.69
325.0	250.0	0.4539292	0.6229067	0.8253053	0.4278731	0.12	-0.31	-0.94	0.18
325.0	50.0	0.02823321	0.0898953	0.2890967	0.0221197	1.91	1.34	0.56	2.01
350.0	100.0	0.1006923	0.2372211	0.5084795	0.09174734	1.28	0.72	-0.02	1.33
350.0	1.0	0.08117831	0.1932593	0.4536882	0.06741589	1.40	0.87	0.12	1.50
350.0	200.0	0.1707051	0.3137139	0.5907495	0.1408738	0.95	0.49	-0.23	1.08
350.0	300.0	0.9692958	0.9845818	0.9943884	0.9708114	-1.87	-2.16	-2.54	-1.89
375.0	150.0	0.2682698	0.450099	0.709192	0.24965	0.62	0.13	-0.55	0.68
375.0	250.0	0.3771862	0.528648	0.7657768	0.3248757	0.31	-0.07	-0.73	0.45
375.0	50.0	0.1967357	0.341879	0.617768	0.1611085	0.85	0.41	-0.30	0.99
400.0	100.0	0.2817335	0.4733915	0.7267205	0.2709785	0.58	0.07	-0.60	0.61
400.0	1.0	0.2950466	0.4604819	0.7170885	0.2590566	0.54	0.10	-0.57	0.65
400.0	200.0	0.3192784	0.5031756	0.7481931	0.2994481	0.47	-0.01	-0.67	0.53
400.0	300.0	0.5786486	0.7234762	0.8806374	0.5540152	-0.20	-0.59	-1.18	-0.14
425.0	150.0	0.3887873	0.5642138	0.7892133	0.3620711	0.28	-0.16	-0.80	0.35
425.0	250.0	0.4760077	0.6325911	0.8309743	0.4392717	0.06	-0.34	-0.96	0.15
425.0	50.0	0.4023088	0.563298	0.7886254	0.3610884	0.25	-0.16	-0.80	0.36
450.0	100.0	0.492989	0.6374328	0.8337798	0.445029	0.02	-0.35	-0.97	0.14
450.0	1.0	0.5096912	0.6501963	0.841085	0.4603941	-0.02	-0.39	-1.00	0.10
450.0	200.0	0.5088331	0.6575968	0.8452617	0.4694288	-0.02	-0.41	-1.02	0.08
450.0	300.0	0.6216623	0.7452862	0.8916752	0.5837097	-0.31	-0.66	-1.24	-0.21
475.0	150.0	0.6661968	0.7735775	0.9055277	0.6235245	-0.43	-0.75	-1.31	-0.31
475.0	250.0	0.6131413	0.7441393	0.8911027	0.5821267	-0.29	-0.66	-1.23	-0.21
475.0	50.0	0.5810296	0.7027494	0.8698459	0.5265849	-0.20	-0.53	-1.13	-0.07
500.0	100.0	0.6608863	0.7682578	0.902962	0.6159249	-0.41	-0.73	-1.30	-0.29
500.0	1.0	0.7181942	0.8136183	0.9242795	0.6824467	-0.58	-0.89	-1.43	-0.47
500.0	200.0	0.6738015	0.7794309	0.9083301	0.6319481	-0.45	-0.77	-1.33	-0.34
500.0	300.0	0.7003689	0.7986108	0.917365	0.6600033	-0.53	-0.84	-1.39	-0.41
