mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
150.0	50.0	0.197515	0.4198134	0.6853557	0.2231317	0.85	0.20	-0.48	0.76
200.0	100.0	0.4113148	0.6034113	0.8136541	0.4053959	0.22	-0.26	-0.89	0.24
200.0	150.0	0.9935045	0.993462	0.9976337	0.9875539	-2.48	-2.48	-2.82	-2.24
300.0	100.0	1.449007e-18	2.879698e-16	4.195886e-13	1.380697e-19	7.40	7.75	7.15	7.40
300.0	200.0	0.7091986	0.7990831	0.9175847	0.6607031	-0.55	-0.84	-1.39	-0.41
300.0	250.0	0.9990307	0.9990298	0.9996501	0.9981466	-3.10	-3.10	-3.39	-2.90
400.0	100.0	1.13186e-06	1.168178e-05	0.0004254074	2.30292e-07	4.73	4.23	3.34	5.04
400.0	200.0	0.000352967	0.00193732	0.02125008	0.0001303858	3.39	2.89	2.03	3.65
400.0	300.0	0.8459235	0.8993124	0.961314	0.8192015	-1.02	-1.28	-1.77	-0.91
500.0	100.0	0.01279945	0.03677067	0.1642978	0.006344079	2.23	1.79	0.98	2.49
500.0	1.0	0.01115004	0.03262946	0.1519591	0.005386251	2.29	1.84	1.03	2.55
500.0	200.0	0.02643116	0.06629694	0.2394523	0.01437826	1.94	1.50	0.71	2.19
500.0	300.0	0.1066693	0.2023865	0.4656141	0.07222901	1.24	0.83	0.09	1.46
600.0	100.0	0.1997822	0.3248534	0.6016203	0.1487389	0.84	0.45	-0.26	1.04
600.0	1.0	0.1936075	0.3034185	0.580476	0.133765	0.86	0.51	-0.20	1.11
600.0	200.0	0.2358485	0.3562226	0.6309572	0.1718568	0.72	0.37	-0.33	0.95
700.0	100.0	0.5027083	0.6264867	0.82741	0.4320687	-0.01	-0.32	-0.94	0.17
700.0	1.0	0.4856534	0.6060808	0.8152687	0.4084369	0.04	-0.27	-0.90	0.23
700.0	200.0	0.516314	0.631161	0.8301421	0.4375787	-0.04	-0.33	-0.95	0.16
700.0	300.0	0.5481803	0.660978	0.8471557	0.4735875	-0.12	-0.42	-1.02	0.07
