mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
100.0	50.0	0.9999518	0.9999518	0.9999827	0.999908	-3.90	-3.90	-4.14	-3.74
125.0	50.0	0.7610837	0.8087756	0.9220629	0.6751569	-0.71	-0.87	-1.42	-0.45
150.0	1.0	6.676368e-12	9.671614e-13	5.057684e-10	1.297137e-15	6.76	7.04	6.11	7.73
175.0	50.0	9.831862e-10	1.777119e-10	4.439858e-08	5.008696e-13	6.00	6.27	5.35	7.13
200.0	100.0	0.004292842	0.001810769	0.02022777	0.0001195918	2.63	2.91	2.05	3.67
200.0	1.0	8.478577e-09	1.623721e-09	2.891049e-07	6.435938e-12	5.64	5.92	5.00	6.77
225.0	150.0	0.8395681	0.8089114	0.9221252	0.6753607	-0.99	-0.87	-1.42	-0.45
225.0	50.0	3.391174e-08	6.765966e-09	9.589119e-07	3.375012e-11	5.40	5.68	4.76	6.53
250.0	100.0	0.0008184138	0.0003012102	0.005314216	1.243274e-05	3.15	3.43	2.55	4.22
250.0	1.0	2.301653e-07	5.084138e-08	5.142687e-06	3.563701e-10	5.04	5.32	4.41	6.16
250.0	200.0	0.9983304	0.9986256	0.9995042	0.9973752	-2.93	-2.99	-3.29	-2.79
275.0	150.0	0.04295858	0.02311848	0.1209737	0.003371762	1.72	1.99	1.17	2.71
275.0	50.0	0.0001014369	3.203291e-05	0.0009424045	7.844736e-07	3.72	4.00	3.11	4.80
300.0	100.0	0.005296274	0.002253608	0.02372252	0.0001582681	2.56	2.84	1.98	3.60
300.0	1.0	0.001118495	0.0004132633	0.006750318	1.84601e-05	3.06	3.34	2.47	4.13
300.0	200.0	0.2676984	0.1914752	0.4513201	0.06648985	0.62	0.87	0.12	1.50
325.0	150.0	0.0372503	0.01966601	0.1085426	0.002710912	1.78	2.06	1.23	2.78
325.0	250.0	0.8691139	0.8494028	0.940238	0.7377424	-1.12	-1.03	-1.56	-0.64
325.0	50.0	0.01072138	0.004915453	0.04154388	0.0004335044	2.30	2.58	1.73	3.33
350.0	100.0	0.061668	0.0350925	0.1593692	0.005950368	1.54	1.81	1.00	2.52
350.0	1.0	0.04172276	0.02238571	0.1183976	0.003228149	1.73	2.01	1.18	2.72
350.0	200.0	0.1633365	0.1061056	0.319684	0.02804198	0.98	1.25	0.47	1.91
350.0	300.0	0.9977834	0.9981977	0.9993496	0.9965587	-2.85	-2.91	-3.22	-2.70
375.0	150.0	0.2465964	0.1745865	0.4282626	0.05796484	0.69	0.94	0.18	1.57
375.0	250.0	0.4439434	0.3504651	0.6257072	0.1675065	0.14	0.38	-0.32	0.96
375.0	50.0	0.1342139	0.08450791	0.2783552	0.02025787	1.11	1.38	0.59	2.05
400.0	100.0	0.2467641	0.1752178	0.4291461	0.05827559	0.68	0.93	0.18	1.57
400.0	1.0	0.2341729	0.1628417	0.4114939	0.05229638	0.73	0.98	0.22	1.62
400.0	200.0	0.2952441	0.2157525	0.4825355	0.07950404	0.54	0.79	0.04	1.41
400.0	300.0	0.7244598	0.6539376	0.8432019	0.46495	-0.60	-0.40	-1.01	0.09
425.0	150.0	0.3598494	0.2739934	0.5498214	0.1142975	0.36	0.60	-0.13	1.20
425.0	250.0	0.4954006	0.4027651	0.6713795	0.2088025	0.01	0.25	-0.44	0.81
425.0	50.0	0.3699669	0.2816893	0.5580326	0.1192672	0.33	0.58	-0.15	1.18
450.0	100.0	0.4571505	0.364224	0.638158	0.1779829	0.11	0.35	-0.35	0.92
450.0	1.0	0.4872389	0.3941624	0.6641651	0.2017344	0.03	0.27	-0.42	0.84
450.0	200.0	0.4915771	0.3993194	0.6685032	0.2059584	0.02	0.26	-0.44	0.82
450.0	300.0	0.6716368	0.5918759	0.8066055	0.3923887	-0.44	-0.23	-0.87	0.27
475.0	150.0	0.6588683	0.5765015	0.7970261	0.3753871	-0.41	-0.19	-0.83	0.32
475.0	250.0	0.6205993	0.5352966	0.7702541	0.3316781	-0.31	-0.09	-0.74	0.44
475.0	50.0	0.5501374	0.4580707	0.7152668	0.2568577	-0.13	0.11	-0.57	0.65
500.0	100.0	0.6445668	0.5603263	0.7867119	0.3579084	-0.37	-0.15	-0.80	0.36
500.0	1.0	0.7135856	0.6393713	0.8348978	0.4473451	-0.56	-0.36	-0.97	0.13
500.0	200.0	0.6656749	0.5841874	0.8018418	0.3838389	-0.43	-0.21	-0.85	0.30
500.0	300.0	0.7196301	0.6458932	0.8386366	0.4551834	-0.58	-0.37	-0.99	0.11
