mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
150.0	50.0	0.4389412	0.3699479	0.6432426	0.1824226	0.15	0.33	-0.37	0.91
200.0	100.0	0.7998811	0.7565559	0.897255	0.5993926	-0.84	-0.70	-1.27	-0.25
200.0	150.0	0.9961098	0.9960946	0.9985889	0.9925532	-2.66	-2.66	-2.99	-2.43
300.0	100.0	3.523203e-14	3.723934e-14	2.984361e-11	3.25313e-17	7.48	7.47	6.54	7.40
300.0	200.0	0.9496957	0.9470311	0.9802589	0.9020402	-1.64	-1.62	-2.06	-1.29
300.0	250.0	0.9994054	0.9994051	0.9997855	0.9988633	-3.24	-3.24	-3.52	-3.05
400.0	100.0	1.29561e-09	1.391704e-09	2.538579e-07	5.383598e-12	5.96	5.94	5.02	6.80
400.0	200.0	0.0003198239	0.0003539519	0.006004983	1.520771e-05	3.41	3.39	2.51	4.17
400.0	300.0	0.9843475	0.9840986	0.9942108	0.9699058	-2.15	-2.15	-2.52	-1.88
500.0	100.0	0.0004150056	0.0004501652	0.007199696	2.054806e-05	3.34	3.32	2.45	4.10
500.0	1.0	0.0002314821	0.0002411204	0.00448749	9.422683e-06	3.50	3.49	2.61	4.28
500.0	200.0	0.002804227	0.003031594	0.02939953	0.0002317761	2.77	2.74	1.89	3.50
500.0	300.0	0.09533443	0.09923455	0.307016	0.025474	1.31	1.29	0.50	1.95
600.0	100.0	0.05761795	0.06118626	0.227688	0.0128484	1.58	1.54	0.75	2.23
600.0	1.0	0.04707276	0.05036462	0.2012498	0.009794667	1.67	1.64	0.84	2.33
600.0	200.0	0.08260877	0.08745684	0.2842736	0.02127027	1.39	1.36	0.57	2.03
700.0	100.0	0.3078482	0.320076	0.5969886	0.1453437	0.50	0.47	-0.25	1.06
700.0	1.0	0.2853949	0.2953858	0.5723027	0.1283256	0.57	0.54	-0.18	1.13
700.0	200.0	0.3193824	0.3326221	0.6090568	0.1543308	0.47	0.43	-0.28	1.02
700.0	300.0	0.3839723	0.3943042	0.6642849	0.20185	0.30	0.27	-0.42	0.84
