mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
100.0	50.0	0.9999497	0.9999497	0.9999819	0.9999038	-3.89	-3.89	-4.13	-3.73
125.0	50.0	0.8287115	0.8577648	0.943863	0.7510325	-0.95	-1.07	-1.59	-0.68
150.0	1.0	0.6508946	0.5644737	0.78938	0.3623503	-0.39	-0.16	-0.80	0.35
175.0	50.0	0.0650066	0.04550109	0.1885756	0.008508588	1.51	1.69	0.88	2.39
200.0	100.0	0.8909703	0.9224967	0.9706607	0.8588275	-1.23	-1.42	-1.89	-1.08
200.0	1.0	2.087253e-05	9.571469e-06	0.0003631751	1.80979e-07	4.10	4.27	3.38	5.09
225.0	150.0	0.9414541	0.9521636	0.9822297	0.9112498	-1.57	-1.67	-2.10	-1.35
225.0	50.0	1.087314e-06	4.987754e-07	3.3604e-05	5.27102e-09	4.74	4.89	3.99	5.72
250.0	100.0	0.005244062	0.003116377	0.02998943	0.0002401718	2.56	2.74	1.88	3.49
250.0	1.0	4.180463e-07	1.620666e-07	1.338473e-05	1.394108e-09	4.93	5.11	4.20	5.94
250.0	200.0	0.9965293	0.9967465	0.9988249	0.9937937	-2.70	-2.72	-3.04	-2.50
275.0	150.0	0.159817	0.1225716	0.3484862	0.03453068	1.00	1.16	0.39	1.82
275.0	50.0	0.000108458	5.314599e-05	0.001399697	1.456858e-06	3.70	3.88	2.99	4.68
300.0	100.0	0.003028176	0.001954048	0.02138372	0.0001318285	2.74	2.89	2.03	3.65
300.0	1.0	0.0002705802	0.0001498466	0.003119588	5.221534e-06	3.46	3.62	2.73	4.41
300.0	200.0	0.6914923	0.6245482	0.8262717	0.4297943	-0.50	-0.32	-0.94	0.18
325.0	150.0	0.02359243	0.01540871	0.0920218	0.00195452	1.98	2.16	1.33	2.89
325.0	250.0	0.9865484	0.988914	0.9959761	0.9789558	-2.21	-2.29	-2.65	-2.03
325.0	50.0	0.004348494	0.002684429	0.02692885	0.0001981619	2.62	2.78	1.93	3.54
350.0	100.0	0.02647821	0.01691397	0.09803519	0.002214155	1.94	2.12	1.29	2.85
350.0	1.0	0.01444686	0.009287396	0.06496311	0.0009978943	2.18	2.35	1.51	3.09
350.0	200.0	0.1505932	0.1230197	0.349242	0.03471373	1.03	1.16	0.39	1.82
350.0	300.0	0.9984182	0.9985979	0.9994942	0.9973223	-2.95	-2.99	-3.29	-2.78
375.0	150.0	0.1583391	0.1178791	0.3404861	0.03263417	1.00	1.19	0.41	1.84
375.0	250.0	0.5197525	0.4756418	0.7283788	0.2730824	-0.05	0.06	-0.61	0.60
375.0	50.0	0.06063002	0.04527798	0.1879808	0.00845093	1.55	1.69	0.89	2.39
400.0	100.0	0.1305109	0.09541607	0.2997916	0.02408338	1.12	1.31	0.52	1.98
400.0	1.0	0.1214943	0.09195504	0.2931226	0.02284579	1.17	1.33	0.54	2.00
400.0	200.0	0.1967196	0.151973	0.3953834	0.04724384	0.85	1.03	0.27	1.67
400.0	300.0	0.8573529	0.8336191	0.9332892	0.7130398	-1.07	-0.97	-1.50	-0.56
425.0	150.0	0.2261526	0.1783356	0.4334845	0.05981942	0.75	0.92	0.17	1.56
425.0	250.0	0.3820788	0.335426	0.6117123	0.1563706	0.30	0.42	-0.28	1.01
425.0	50.0	0.2176783	0.1764881	0.4309189	0.05890281	0.78	0.93	0.17	1.56
450.0	100.0	0.2988557	0.2547054	0.5285909	0.102222	0.53	0.66	-0.07	1.27
450.0	1.0	0.3261334	0.2811364	0.5574474	0.1189073	0.45	0.58	-0.14	1.18
450.0	200.0	0.3630596	0.3103237	0.587391	0.1385159	0.35	0.49	-0.22	1.09
450.0	300.0	0.618693	0.5665858	0.7907326	0.3646229	-0.30	-0.17	-0.81	0.35
475.0	150.0	0.5084218	0.4604778	0.7170854	0.2590528	-0.02	0.10	-0.57	0.65
475.0	250.0	0.508773	0.4540788	0.7122348	0.2532364	-0.02	0.12	-0.56	0.66
475.0	50.0	0.3838737	0.3424296	0.6182811	0.1615156	0.30	0.41	-0.30	0.99
500.0	100.0	0.4856872	0.4380462	0.6998524	0.2389329	0.04	0.16	-0.52	0.71
500.0	1.0	0.583566	0.5376737	0.7718439	0.3341269	-0.21	-0.09	-0.74	0.43
500.0	200.0	0.5245589	0.478619	0.7305635	0.2758777	-0.06	0.05	-0.61	0.60
500.0	300.0	0.6245109	0.5873119	0.8037841	0.3873019	-0.32	-0.22	-0.86	0.29
