mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
150.0	50.0	0.712456	0.6015894	0.8125486	0.4033272	-0.56	-0.26	-0.89	0.24
200.0	100.0	0.8748807	0.856987	0.9435274	0.7497903	-1.15	-1.07	-1.59	-0.67
200.0	150.0	0.997736	0.9977309	0.9991809	0.9956688	-2.84	-2.84	-3.15	-2.63
300.0	100.0	0.0005968175	0.001320847	0.01605012	7.997848e-05	3.24	3.01	2.14	3.78
300.0	200.0	0.9700153	0.9690884	0.9886391	0.9420434	-1.88	-1.87	-2.28	-1.57
300.0	250.0	0.9996387	0.9996386	0.9998697	0.9993092	-3.38	-3.38	-3.65	-3.20
400.0	100.0	1.371172e-08	4.009443e-08	4.224057e-06	2.697317e-10	5.56	5.37	4.45	6.21
400.0	200.0	0.02995863	0.05037802	0.2012839	0.009798286	1.88	1.64	0.84	2.33
400.0	300.0	0.9908213	0.9907363	0.9966414	0.9823951	-2.36	-2.35	-2.71	-2.11
500.0	100.0	7.296181e-05	0.0001588436	0.003262255	5.612462e-06	3.80	3.60	2.72	4.39
500.0	1.0	2.678759e-05	5.975018e-05	0.001533271	1.681847e-06	4.04	3.85	2.96	4.65
500.0	200.0	0.001705113	0.003149407	0.0302179	0.0002434619	2.93	2.73	1.88	3.49
500.0	300.0	0.2764487	0.3512584	0.6264341	0.168103	0.59	0.38	-0.32	0.96
600.0	100.0	0.01596981	0.02583705	0.130269	0.003919663	2.15	1.95	1.13	2.66
600.0	1.0	0.01078678	0.01891039	0.1057153	0.002571771	2.30	2.08	1.25	2.80
600.0	200.0	0.03349521	0.0524887	0.2066201	0.01037352	1.83	1.62	0.82	2.31
700.0	100.0	0.1529706	0.2050925	0.4690907	0.07368022	1.02	0.82	0.08	1.45
700.0	1.0	0.1326913	0.1798284	0.4355469	0.06056391	1.11	0.92	0.16	1.55
700.0	200.0	0.1655879	0.2243243	0.4930689	0.08431029	0.97	0.76	0.02	1.38
700.0	300.0	0.246138	0.3115214	0.5885803	0.139347	0.69	0.49	-0.22	1.08
