mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
100.0	50.0	0.9999593	0.9999593	0.9999853	0.9999222	-3.94	-3.94	-4.18	-3.78
125.0	50.0	0.9029153	0.8924764	0.9585055	0.8077373	-1.30	-1.24	-1.73	-0.87
150.0	1.0	0.857347	0.8382261	0.9353319	0.7201985	-1.07	-0.99	-1.52	-0.58
175.0	50.0	0.9047589	0.8947333	0.9594354	0.8115112	-1.31	-1.25	-1.74	-0.88
200.0	100.0	0.9507584	0.9482081	0.980712	0.9041469	-1.65	-1.63	-2.07	-1.31
200.0	1.0	0.0594847	0.06372831	0.2335921	0.01360252	1.56	1.52	0.73	2.21
225.0	150.0	0.964938	0.963664	0.9865997	0.9321027	-1.81	-1.79	-2.21	-1.49
225.0	50.0	0.002224927	0.002945865	0.02879786	0.0002233598	2.84	2.75	1.90	3.51
250.0	100.0	0.09588946	0.0949345	0.2988707	0.02390987	1.31	1.31	0.53	1.98
250.0	1.0	6.900168e-06	8.907421e-06	0.0003429988	1.659205e-07	4.35	4.29	3.40	5.10
250.0	200.0	0.9993266	0.9993262	0.9997571	0.9987127	-3.21	-3.21	-3.49	-3.01
275.0	150.0	0.7062104	0.6834282	0.8595111	0.5016959	-0.54	-0.48	-1.08	-0.00
275.0	50.0	0.000245936	0.0002904385	0.005169398	1.188071e-05	3.49	3.44	2.56	4.23
300.0	100.0	0.007044743	0.008189605	0.05951482	0.0008454671	2.45	2.40	1.56	3.14
300.0	1.0	0.0002549739	0.0003275295	0.00566255	1.380295e-05	3.48	3.41	2.53	4.19
300.0	200.0	0.9875563	0.9873995	0.9954221	0.9761037	-2.24	-2.24	-2.61	-1.98
325.0	150.0	0.0223456	0.02389064	0.1236547	0.00352499	2.01	1.98	1.16	2.69
325.0	250.0	0.9925014	0.9924448	0.9972637	0.9856265	-2.43	-2.43	-2.78	-2.19
325.0	50.0	0.002587438	0.002937949	0.02874203	0.0002225865	2.80	2.75	1.90	3.51
350.0	100.0	0.0126386	0.01334636	0.08342381	0.001613607	2.24	2.22	1.38	2.95
350.0	1.0	0.007656919	0.008392091	0.0605376	0.0008730875	2.42	2.39	1.55	3.13
350.0	200.0	0.2212979	0.237125	0.5083666	0.09169102	0.77	0.72	-0.02	1.33
350.0	300.0	0.9991613	0.9991606	0.9996973	0.9983963	-3.14	-3.14	-3.43	-2.95
375.0	150.0	0.1062784	0.1048857	0.3174647	0.02757994	1.25	1.25	0.47	1.92
375.0	250.0	0.6954826	0.7118425	0.8746172	0.538525	-0.51	-0.56	-1.15	-0.10
375.0	50.0	0.02976125	0.03414564	0.1565461	0.005731552	1.88	1.82	1.01	2.53
400.0	100.0	0.06357345	0.06337287	0.2327729	0.01349626	1.53	1.53	0.73	2.21
400.0	1.0	0.05700133	0.06056062	0.2262183	0.01266489	1.58	1.55	0.75	2.24
400.0	200.0	0.1403965	0.1429622	0.3815556	0.04319777	1.08	1.07	0.30	1.71
400.0	300.0	0.9946772	0.9946487	0.9980646	0.9898054	-2.55	-2.55	-2.89	-2.32
425.0	150.0	0.1338775	0.1351517	0.3691956	0.03979699	1.11	1.10	0.33	1.75
425.0	250.0	0.3507808	0.3627875	0.6368733	0.1768761	0.38	0.35	-0.35	0.93
425.0	50.0	0.1122251	0.118291	0.3411947	0.03279914	1.21	1.18	0.41	1.84
450.0	100.0	0.177176	0.1873975	0.4458602	0.06439146	0.93	0.89	0.14	1.52
450.0	1.0	0.2029315	0.2146826	0.4812037	0.07891183	0.83	0.79	0.05	1.41
450.0	200.0	0.2570497	0.2585613	0.5329124	0.1045924	0.65	0.65	-0.08	1.26
450.0	300.0	0.6228896	0.6247808	0.8264084	0.4300668	-0.31	-0.32	-0.94	0.18
475.0	150.0	0.3730845	0.3869985	0.6580716	0.1959315	0.32	0.29	-0.41	0.86
475.0	250.0	0.3986164	0.403934	0.6723512	0.2097712	0.26	0.24	-0.45	0.81
475.0	50.0	0.2491999	0.2666292	0.5418282	0.1096228	0.68	0.62	-0.11	1.23
500.0	100.0	0.3444711	0.355255	0.630079	0.1711223	0.40	0.37	-0.33	0.95
500.0	1.0	0.4386864	0.4486495	0.7080788	0.2483496	0.15	0.13	-0.55	0.68
500.0	200.0	0.39558	0.4106394	0.6778869	0.2153676	0.26	0.23	-0.46	0.79
500.0	300.0	0.5465378	0.5603936	0.7867553	0.3579803	-0.12	-0.15	-0.80	0.36
