mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
150.0	50.0	0.7756383	0.7107394	0.8740415	0.5370688	-0.76	-0.56	-1.15	-0.09
200.0	100.0	0.9086446	0.8994597	0.9613743	0.8194497	-1.33	-1.28	-1.77	-0.91
200.0	150.0	0.9984246	0.9984221	0.9994307	0.9969868	-2.95	-2.95	-3.25	-2.75
300.0	100.0	0.574286	0.6463615	0.8389038	0.4557489	-0.19	-0.38	-0.99	0.11
300.0	200.0	0.9786461	0.9781802	0.9920264	0.9588571	-2.03	-2.02	-2.41	-1.74
300.0	250.0	0.9997216	0.9997216	0.9998996	0.9994679	-3.45	-3.45	-3.72	-3.27
400.0	100.0	3.227532e-06	1.572839e-05	0.0005383593	3.302138e-07	4.51	4.16	3.27	4.97
400.0	200.0	0.6819894	0.748328	0.8931894	0.5879197	-0.47	-0.67	-1.24	-0.22
400.0	300.0	0.9933734	0.9933292	0.9975854	0.987302	-2.48	-2.47	-2.82	-2.24
500.0	100.0	6.927145e-05	0.0002635558	0.004801751	1.052629e-05	3.81	3.47	2.59	4.25
500.0	1.0	1.600071e-05	6.924378e-05	0.001719355	2.015591e-06	4.16	3.81	2.93	4.61
500.0	200.0	0.004768945	0.0123724	0.07919903	0.001458896	2.59	2.25	1.41	2.98
500.0	300.0	0.8405933	0.8880842	0.9566882	0.8004235	-1.00	-1.22	-1.71	-0.84
600.0	100.0	0.006756034	0.01675469	0.09740841	0.002186265	2.47	2.13	1.30	2.85
600.0	1.0	0.003972487	0.01091543	0.07265205	0.001235464	2.65	2.29	1.46	3.03
600.0	200.0	0.01985971	0.04417947	0.1850338	0.008168796	2.06	1.70	0.90	2.40
700.0	100.0	0.08359299	0.1476026	0.3887324	0.04526514	1.38	1.05	0.28	1.69
700.0	1.0	0.06651835	0.1222046	0.3478661	0.03438101	1.50	1.16	0.39	1.82
700.0	200.0	0.09878365	0.1738123	0.4271765	0.05758455	1.29	0.94	0.18	1.58
700.0	300.0	0.1790066	0.2768809	0.5529191	0.116152	0.92	0.59	-0.13	1.19
