mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
100.0	50.0	0.9999464	0.9999464	0.9999807	0.9998976	-3.87	-3.87	-4.12	-3.71
125.0	50.0	0.9285485	0.9230503	0.9708806	0.8597878	-1.47	-1.43	-1.89	-1.08
150.0	1.0	0.8957683	0.8836399	0.9548389	0.7930644	-1.26	-1.19	-1.69	-0.82
175.0	50.0	0.9297412	0.9244319	0.9714286	0.8621876	-1.47	-1.44	-1.90	-1.09
200.0	100.0	0.9642703	0.9629464	0.9863288	0.9307927	-1.80	-1.79	-2.21	-1.48
200.0	1.0	0.9557032	0.967393	0.9880033	0.9389293	-1.70	-1.84	-2.26	-1.55
225.0	150.0	0.9748925	0.9742458	0.9905654	0.9515577	-1.96	-1.95	-2.35	-1.66
225.0	50.0	0.6062703	0.6713812	0.8529284	0.4865052	-0.27	-0.44	-1.05	0.03
250.0	100.0	0.8354592	0.8672273	0.9479188	0.7662435	-0.98	-1.11	-1.63	-0.73
250.0	1.0	0.001988858	0.004712618	0.0403182	0.0004103767	2.88	2.60	1.75	3.35
250.0	200.0	0.9995197	0.9995195	0.9998267	0.9990818	-3.30	-3.30	-3.58	-3.12
275.0	150.0	0.9889926	0.9888701	0.9959601	0.9788733	-2.29	-2.29	-2.65	-2.03
275.0	50.0	0.003281625	0.007355041	0.05520557	0.0007340937	2.72	2.44	1.60	3.18
300.0	100.0	0.02543536	0.0464198	0.1910122	0.008747257	1.95	1.68	0.87	2.38
300.0	1.0	0.0005885539	0.001510018	0.01770917	9.484191e-05	3.24	2.97	2.10	3.73
300.0	200.0	0.9910744	0.990994	0.9967354	0.9828821	-2.37	-2.37	-2.72	-2.12
325.0	150.0	0.06242152	0.1030734	0.3141445	0.02689841	1.53	1.26	0.48	1.93
325.0	250.0	0.9946317	0.9946027	0.9980479	0.989718	-2.55	-2.55	-2.89	-2.32
325.0	50.0	0.002080034	0.004804418	0.04087498	0.0004208052	2.87	2.59	1.74	3.34
350.0	100.0	0.01002438	0.02001441	0.1098325	0.002775748	2.33	2.05	1.23	2.77
350.0	1.0	0.003531496	0.007798988	0.05751725	0.000792838	2.69	2.42	1.58	3.16
350.0	200.0	0.4609842	0.5526329	0.7817189	0.349741	0.10	-0.13	-0.78	0.39
350.0	300.0	0.9994019	0.9994015	0.9997842	0.9988565	-3.24	-3.24	-3.52	-3.05
375.0	150.0	0.08388495	0.1323755	0.3647134	0.03861224	1.38	1.12	0.35	1.77
375.0	250.0	0.9988093	0.9988079	0.99957	0.997723	-3.04	-3.04	-3.33	-2.84
375.0	50.0	0.01615633	0.03132416	0.1479412	0.005094078	2.14	1.86	1.05	2.57
400.0	100.0	0.03208631	0.05694992	0.2176023	0.01162228	1.85	1.58	0.78	2.27
400.0	1.0	0.0275918	0.05028503	0.2010467	0.009773178	1.92	1.64	0.84	2.33
400.0	200.0	0.1283974	0.1920098	0.452031	0.06676683	1.13	0.87	0.12	1.50
400.0	300.0	0.9969305	0.996921	0.998888	0.994126	-2.74	-2.74	-3.06	-2.52
425.0	150.0	0.08345087	0.1316624	0.3635542	0.03830996	1.38	1.12	0.35	1.77
425.0	250.0	0.3761185	0.4692096	0.7236224	0.267089	0.32	0.08	-0.59	0.62
425.0	50.0	0.0546935	0.09200203	0.2932139	0.02286245	1.60	1.33	0.54	2.00
450.0	100.0	0.09092248	0.1435036	0.3823993	0.04343719	1.34	1.06	0.30	1.71
450.0	1.0	0.1140274	0.1745056	0.4281492	0.05792507	1.21	0.94	0.18	1.57
450.0	200.0	0.1707032	0.2445129	0.5169723	0.09606107	0.95	0.69	-0.04	1.30
450.0	300.0	0.6930506	0.7592518	0.8985776	0.6031789	-0.50	-0.70	-1.27	-0.26
475.0	150.0	0.2356308	0.3213526	0.5982308	0.1462477	0.72	0.46	-0.25	1.05
475.0	250.0	0.2897362	0.3794103	0.6515297	0.1898669	0.55	0.31	-0.39	0.88
475.0	50.0	0.1389542	0.2067036	0.4711481	0.07454944	1.09	0.82	0.07	1.44
500.0	100.0	0.2015676	0.2821193	0.5584873	0.1195475	0.84	0.58	-0.15	1.18
500.0	1.0	0.285598	0.3764	0.648909	0.1874844	0.57	0.31	-0.38	0.89
500.0	200.0	0.2551555	0.3435455	0.6193194	0.1623419	0.66	0.40	-0.30	0.98
500.0	300.0	0.4596007	0.5528672	0.7818717	0.3499883	0.10	-0.13	-0.78	0.39
