mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
200.0	100.0	0.9588496	0.9570836	0.984107	0.9201341	-1.74	-1.72	-2.15	-1.41
200.0	150.0	0.9993395	0.9993391	0.9997617	0.9987372	-3.21	-3.21	-3.49	-3.02
300.0	100.0	0.9533544	0.9510721	0.9818116	0.9092863	-1.68	-1.66	-2.09	-1.34
300.0	200.0	0.9910093	0.9909278	0.9967112	0.9827569	-2.37	-2.36	-2.72	-2.11
300.0	250.0	0.9997908	0.9997908	0.9999246	0.9996002	-3.53	-3.53	-3.79	-3.35
400.0	100.0	0.0008017701	0.005128716	0.04281515	0.0004581543	3.16	2.57	1.72	3.32
400.0	200.0	0.9828236	0.9828532	0.9937525	0.967574	-2.12	-2.12	-2.50	-1.85
400.0	300.0	0.993216	0.9931696	0.9975274	0.9869996	-2.47	-2.47	-2.81	-2.23
500.0	100.0	0.0001183104	0.0009928474	0.01299953	5.566665e-05	3.68	3.09	2.23	3.86
500.0	1.0	1.506263e-05	0.0001630034	0.003327533	5.795102e-06	4.17	3.59	2.71	4.39
500.0	200.0	0.02504022	0.08453735	0.2784148	0.02026789	1.96	1.38	0.59	2.05
500.0	300.0	0.9933707	0.9933264	0.9975844	0.9872968	-2.48	-2.47	-2.82	-2.24
600.0	100.0	0.003023314	0.01560836	0.09283131	0.001988444	2.75	2.15	1.32	2.88
600.0	1.0	0.00161191	0.009338718	0.06521226	0.001005178	2.95	2.35	1.51	3.09
600.0	200.0	0.01533663	0.05810226	0.2203775	0.01195196	2.16	1.57	0.77	2.26
700.0	100.0	0.03484923	0.1089146	0.3247469	0.02911579	1.81	1.23	0.45	1.89
700.0	1.0	0.02694153	0.08976202	0.2888347	0.02207299	1.93	1.34	0.56	2.01
700.0	200.0	0.05135962	0.1462836	0.3867047	0.04467399	1.63	1.05	0.29	1.70
700.0	300.0	0.1305142	0.2853303	0.5618683	0.1216486	1.12	0.57	-0.16	1.17
